Formula ID,Intended Level of Use in %,Keywords,List of Countries of Destination,Product Type,Recommended Shelf Life (in months),Region
1,6.0,Topping,Croatia,Decorations,9,OCEA
2,6.0,BIO cerfited    Dosage 4 to 6%                     sweet dough appilcation,Belgium,Pdts formulated w/o active yeasts/ferm. Improvers,6,Western Europe
3,50.0,"oat, yoghurt",Austria,Pdts formulated w/o active yeasts/ferm. Mixes/Premixes,9,OCEA
4,50.0,Potato bun premix for Sanabel,Iraq,Pdts formulated w/o active yeasts/ferm. Improvers,6,Middle East Africa
5,3.6,"YGB
YGB TRAD
YGB TRADITIONAL",Morocco,Pdts formulated w/ active yeasts/ferm (<90%),9,Middle East Africa
6,4.7544,"SFO
SFO STYLE
SFO STYLE PREMIX","Korea, Republic of
Philippines
Sri Lanka
Viet Nam",Pdts formulated w/o active yeasts/ferm. Mixes/Premixes,24,Overseas APAC
7,7.0,"ES9340B
BAKELS
BVM AI HOCEIMA MSZ",Netherlands,Pdts formulated w/o active yeasts/ferm. Improvers,24,Western Europe
8,3.0,ES09429A,Greece,Pdts formulated w/o active yeasts/ferm. Improvers,24,Western Europe
9,5.0,Intégration formule historique  projet qualité de la donnée,Morocco,Pdts formulated w/o active yeasts/ferm. Improvers,24,Middle East Africa
10,23.4,"PIZZA HUT
Frozen dough",United States of America,Pdts formulated w/o active yeasts/ferm. Improvers,24,North America
11,23.4,"PIZZA HUT
Frozen dough",France,Pdts formulated w/o active yeasts/ferm. Improvers,24,North America
12,20.0,no added sugar toast bread,Greece,Pdts formulated w/o active yeasts/ferm. Mixes/Premixes,24,Western Europe
13,20.0,"My Sourdough
ES08982E","Belgium
Netherlands
Luxembourg",Starters for sourdoughs,6,Western Europe
14,2.5344,"PAN
FROZEN PAN
FROZEN PAN PREMIX",Singapore,Pdts formulated w/o active yeasts/ferm. Mixes/Premixes,24,Overseas APAC
15,2.5,part baked,"Austria
Germany",Pdts formulated w/o active yeasts/ferm. Improvers,24,Western Europe
16,2.1682,ASIAN SFO DOUGH BLEND,Thailand,Pdts formulated w/ active yeasts/ferm (<90%),24,Overseas APAC
17,2.0,bagel improver Fitzgeralds,"United Kingdom
Ireland",Pdts formulated w/o active yeasts/ferm. Improvers,24,Western Europe
18,2.0,Stefani,Italy,Pdts formulated w/o active yeasts/ferm. Improvers,24,Western Europe
19,2.0,"STEFANI
Panificio Stefani Group",Italy,Pdts formulated w/o active yeasts/ferm. Improvers,24,Western Europe
20,2.0,"STEFANI
Panificio Stefani Group",Italy,Pdts formulated w/o active yeasts/ferm. Improvers,24,Western Europe
21,2.0,"Pain Minute Fresh
Partbaked
Wholemeal
The Netherlands",Netherlands,Pdts formulated w/o active yeasts/ferm. Improvers,9,Western Europe
22,6.0,"L112, Enz 0014",France,Compressed yesats,2,Western Europe
23,6.0,"L112, Enz 0014",France,Compressed yesats,2,Western Europe
24,6.0,"L112, Enz 0014",France,Compressed yesats,2,Western Europe
25,6.0,"L112, Enz 0014",France,Compressed yesats,2,Western Europe
26,4.2,vahine clean label,France,Pdts formulated w/ active yeasts/ferm (<90%),18,Western Europe
27,2.0,"Softness, resilence",China,Pdts formulated w/o active yeasts/ferm. Improvers,18,Greater China
28,15.0,Premix seeds,Romania,Pdts formulated w/o active yeasts/ferm. Mixes/Premixes,9,OCEA
29,7.0,Product Type: Deactive Yeast,Turkey,Functional ingr. Deativ yeastsw/ red effect,12,MECA
30,7.0,Product Type: Deactive Yeast,Turkey,Functional ingr. Deativ yeastsw/ red effect,12,MECA
31,2.4,"pizza
blend",Saudi Arabia,Pdts formulated w/ active yeasts/ferm (>90%),12,MECA
32,5.0,"pizza
blend",Saudi Arabia,Pdts formulated w/ active yeasts/ferm (>90%),12,MECA
33,4.0,For Dominos Pizza Turkey Company Product (Pizza Restaurantları A.Ş.),Turkey,Pdts formulated w/o active yeasts/ferm. Improvers,12,MECA
34,70.0,keto bread mix,United Kingdom,Pdts formulated w/o active yeasts/ferm. Mixes/Premixes,12,Western Europe
35,4.0,bagel improver,United Kingdom,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
36,2.5,microwave pizza improver,United Kingdom,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
37,2.5,FTP,"United Kingdom
Ireland
Netherlands
Germany",Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
38,2.5,FTP,"United Kingdom
Ireland
Netherlands
Germany",Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
39,4.0,PIZZA,Saudi Arabia,Pdts formulated w/ active yeasts/ferm (>90%),12,MECA
40,4.5,PIZZA,"Saudi Arabia
Qatar",Pdts formulated w/ active yeasts/ferm (>90%),12,MECA
41,5.0,Soft Roll,United Kingdom,Pdts formulated w/o active yeasts/ferm. Mixes/Premixes,12,Western Europe
42,2.0,bagel improver Fitzgeralds,United Kingdom,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
43,33.0,Seed bread,Romania,Pdts formulated w/o active yeasts/ferm. Mixes/Premixes,12,OCEA
44,2.5,"minute
fully baked",Belgium,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
45,2.5,"minute
fully baked",Belgium,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
46,2.5,WHOLEMEAL FTP,United Kingdom,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
47,2.0,Pre Proofed Frozen,United Arab Emirates,Pdts formulated w/o active yeasts/ferm. Improvers,12,MECA
48,4.0,OLASENA,Italy,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
49,4.0,OLASENA,Italy,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
50,4.0,OLASENA,Italy,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
51,30.0,"Pizza, Premix",China,Pdts formulated w/o active yeasts/ferm. Mixes/Premixes,12,Greater China
52,25.0,"Danish, Croissant, Premix",China,Pdts formulated w/o active yeasts/ferm. Mixes/Premixes,12,Greater China
53,2.0,Frozen improver,Saudi Arabia,Pdts formulated w/o active yeasts/ferm. Improvers,12,Middle East Africa
54,3.6,blend,Turkey,Pdts formulated w/ active yeasts/ferm (<90%),12,MECA
55,5.0,DOUGH BLEND,Switzerland,Pdts formulated w/ active yeasts/ferm (<90%),12,Western Europe
56,20.0,Potato bun premix,"Saudi Arabia
Qatar
Yemen",Pdts formulated w/o active yeasts/ferm. Mixes/Premixes,12,Middle East Africa
57,5.0,Liquied Deactive Rye Sourdough,Turkey,Devitalized sourdoughs,12,MECA
58,5.0,"Pain Minute Fresh
Partbaked
Wholemeal
The Netherlands",The Netherlands,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
59,2.0,AML enzyme cocktail,Netherlands,Pdts formulated w/o active yeasts/ferm. Milling Correctors. Optimix,12,Western Europe
60,3.0,ES 08696 E,Netherlands,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
61,5.0,POL 163,Poland,Functional ingr. Deativ yeastsw/ red effect,12,OCEA
62,3.0,MATER MIA,Italy,Pdts formulated w/ active yeasts/ferm (<90%),12,Western Europe
63,3.0,Baking Powder with Oil,United Kingdom of Great Britain and Northern Ireland,Acidifiers,12,Western Europe
64,3.0,BAKING POWDER,United Kingdom,Acidifiers,12,Western Europe
65,3.0,encap bp,United Kingdom,Pure functionnal ingredients,12,Western Europe
66,3.0,"ES09146B 
SAFMILL SAVEUR 
Artesienne",France,Devitalized sourdoughs,12,Western Europe
67,4.5,CHEEZIOUS,Pakistan,Pdts formulated w/ active yeasts/ferm (<90%),12,Middle East Africa
68,4.5,CHEEZIOUS,Pakistan,Pdts formulated w/ active yeasts/ferm (<90%),12,Middle East Africa
69,3.0,185b,United Kingdom,Pure functionnal ingredients,12,Western Europe
70,18.5,Pinza 18.5,United Kingdom,Devitalized sourdoughs,12,Western Europe
71,5.0,Pell K Donut match,United Kingdom,Pure functionnal ingredients,12,Western Europe
72,5.0,Match Pell Gemini BP,United Kingdom,Pure functionnal ingredients,12,Western Europe
73,3.0,Match Pell K rise,United Kingdom,Pure functionnal ingredients,12,Western Europe
74,3.0,Match Pell Restrain,United Kingdom,Pure functionnal ingredients,12,Western Europe
75,3.0,Match Zeus KA20 GF,United Kingdom,Pure functionnal ingredients,12,Western Europe
76,5.86,"SFO
SFO BOH","Mongolia
Viet Nam",Pdts formulated w/ active yeasts/ferm (<90%),12,Overseas APAC
77,5.86,"SFO
SFO BOH","Mongolia
Viet Nam",Pdts formulated w/ active yeasts/ferm (<90%),12,Overseas APAC
78,3.0,ES 09277 A,France,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
79,5.0,"Panettone
8796W
8796",France,Pdts formulated w/ active yeasts/ferm (<90%),12,Western Europe
80,5.0,"Panettone
09470
08796
COMPTOIR MEUNIER",France,Pdts formulated w/ active yeasts/ferm (<90%),12,Western Europe
81,25.0,"Viennoiserie
ES 09374 A 100%
ES 09374 B  25%",Netherlands,Pdts formulated w/o active yeasts/ferm. Mixes/Premixes,12,Western Europe
82,3.0,snowdrop bp,United Kingdom,Pure functionnal ingredients,12,Western Europe
83,3.0,"Croustilis Plus
No soy bean or 'bleaching' ingredients
More warm crust colour",Netherlands,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
84,3.0,"Croustilis Plus
No soy bean or 'bleaching' ingredients
More warm crust colour
9377D",Netherlands,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
85,2.0,"holder
ES 09381A",France,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
86,2.0,"lv4
S400",Germany,Starters for sourdoughs,12,Western Europe
87,3.0,MGX sandwich kpd 3 %,Ukraine,Pdts formulated w/o active yeasts/ferm. Improvers,12,OCEA
88,3.0,MGX Tost kpd 3%,Ukraine,Pdts formulated w/o active yeasts/ferm. Improvers,12,OCEA
89,5.0,Tost KHI,Ukraine,Pdts formulated w/o active yeasts/ferm. Improvers,12,OCEA
90,2.5,Naas Improver for Bulk,United Kingdom,Pdts formulated w/o active yeasts/ferm. Improvers,12,Western Europe
